stop_id,stop_name,zone_id,stop_lat,stop_lon,stop_desc
SZi9t2x2,Gachibowli,Gachibowli,17.438067510765,78.3631235278175,GACHIBOWLI ORR twd Kondapur
BnLJAzFN,Nanakramguda,Nanakramguda,17.419286,78.358024,NANAKRAMGUDA twd Mehdipatnam
HXArDftH,Corporate Bhavan,Corporate Bhavan,17.3705455539861,78.589339250817,CORPORATE BHAVAN twd Jaipuri Colony
gkVhjSin,Drf,Drf,17.3820591117584,78.5801571607589,DRF twd Bandlaguda Depot
lAwrKQ87,Jaya Puri Colony,Jaya Puri Colony,17.3786802832632,78.5720112899581,JAI PURI COLONY twd Bandlaguda
27ZkTjPB,Bandlaguda,Bandlaguda,17.3789362223756,78.5691808890847,BANDLGUDA twd Jaipuri Colony
zHbDoJEx,Jai Puri Colony,Jai Puri Colony,17.3789125986823,78.5720783419552,JAIPURI COLONY twd DRF
6f304ebf,Drf,Drf,17.3820104770141,78.5802698135375,DRF twd Jaipuri Colony
aGU3abqE,Reddipalle-Moinabad,Reddipalle-Moinabad,17.373368764942,78.2460397481918,REDDY PALLY twd Chinnamangalaram
aQ86Sqrz,Mothukupalle-Moinabad,Mothukupalle-Moinabad,17.3829038184132,78.2535553050409,MOTHUKUPALLE
esslM7SC,Rampally Cross Road,Rampally Cross Road,17.4939031333408,78.6055661169933,RAMPALLY X Road twd Bandlaguda
2HvWFMFX,Bandlaguda Village,Bandlaguda Village,17.5014720903039,78.6229088902473,BANDLAGUDA twd Keesara
cCocKmSG,Cheeryal Cross Road,Cheeryal Cross Road,17.5070511399652,78.6277020001437,CHEERYAL X ROAD twd DRDO
gwCt5A1q,Cheryal,Cheryal,17.5177279244255,78.627,CHERYAL twd DRDO
huYwNLgV,Yadgarpalle East,Yadgarpalle East,17.5477309962446,78.6325889825821,YADGARPALLE EAST twd DRDO
p6EjGTUg,Drdo,Drdo,17.5675949300259,78.629,DRDO Bus Stand
ERxm6bxS,Yadgarpalle East,Yadgarpalle East,17.5476236186818,78.6325085163116,YADGARPALLE EAST twd ECIL
tc2jAI4J,Cheeryal Cross Road,Cheeryal Cross Road,17.5067620554781,78.6279112100601,CHEERYAL X ROAD twd ECIL
ZEraopsv,Bandlaguda Village,Bandlaguda Village,17.5013851166688,78.6230778694153,BANDLAGUDA twd ECIL
EZ3DRKj5,Rampally Cross Road,Rampally Cross Road,17.4936238138341,78.6054128516247,RAMPALLY X Road twd Secunderabad
DxXqDfmJ,Hmt Nagar,Hmt Nagar,17.42364348,78.54679417,HMT NAGAR twd Habsiguda
5O0OPGTl,Ngri,Ngri,17.4154399135097,78.545873236581,NGRI twd RGIA
UJIfRlG2,Nanajipur Shamshabad,Nanajipur Shamshabad,17.228,78.287,NANAJIPUR VILLAGE twd Rayannaguda X Roads
ePQUhLBd,Guduru-Kothur,Guduru-Kothur,17.2066394847627,78.2765471935272,GUDUR twd Botiguda
F5oCD14y,Patny Taj Tristar,Patny Taj Tristar,17.4403347058535,78.4950050478407,TAJ Tri-star twd RGIA
efZmlcN7,Kokapet,Kokapet,17.3932157751974,78.341163472138,KOKAPET VILLAGE
9Y0drJYS,Malreddyguda,Malreddyguda,17.3039683940248,78.1462079529097,MALREDDYGUDA twd Nagarguda
H0K3qflS,Pamena,Pamena,17.2990080056363,78.1461006617291,PAMENA twd Nagarguda
ZwITeqy1,Allwada,Allwada,17.2546968603462,78.1365519762039,ALLWADA twd Shadnagar
5ARQD6DL,Sagar College,Sagar College,17.3439818338472,78.1308227777481,SAGAR COLLEGE twd Urella
m4QPPdBK,Urella,Urella,17.3560095207375,78.1331187486648,URELLA twd Shankarpalle
O7NGuCSM,Urella,Urella,17.3574509864752,78.1303641200065,URELLA Village
ELvgQHln,Sagar College,Sagar College,17.3437769437962,78.1308925151824,SAGAR COLLEGE twd Chevella
6wcvigUc,Devuni Erravelly,Devuni Erravelly,17.3371484690948,78.1435258948488,DEVUNI ERRAVELLI twd Mehdipatnam
KhUJB1WM,Jbiet College Amdapur Cross Road,Jbiet College Amdapur Cross Road,17.3311187278302,78.2971599104147,JBIET AMDAPUR X ROAD twd Nadeempet
FjCsBmLN,Murthuzaguda Cross Road,Murthuzaguda Cross Road,17.3119451281613,78.2881772538323,MURTHUZAGUDA X Road twd Murthuza Guda Village
UqdjFw3I,Murthuzaguda,Murthuzaguda,17.3105060081849,78.2826787285958,MURTHUZA GUDA VILLAGE twd  Amdapur
fx72u882,Murthuzaguda Cross Road,Murthuzaguda Cross Road,17.3060861262278,78.2888531372987,MURTHUZA GUDA X Road twd Kashimbowli
T3u9Bc4M,Nazeebnagar/Nadeempet,Nazeebnagar/Nadeempet,17.2990950781246,78.2893359605867,NADEEMPET twd Amdapur
fKSXKXQX,Kasimbouli Cross Road,Kasimbouli Cross Road,17.2844591932159,78.2927289035495,KASHIMBOWLI X ROAD twd Amdapur
mP5vCGeY,Amdapur-Moinabad,Amdapur-Moinabad,17.2775877696765,78.2912456687944,AMDAPUR Village twd Amangal
wnMO0H2Z,Amdapur-Moinabad,Amdapur-Moinabad,17.2776899820303,78.2914951492804,AMDAPUR Village twd Rayannaguda
EVFoWYbs,Kasimbouli Cross Road,Kasimbouli Cross Road,17.2846433604956,78.292795972875,KASHIMBOWLI X ROAD twd Bakaram
rmZJuaGZ,Kasimbouli,Kasimbouli,17.286551614021,78.296631496798,KASHIMBOWLI Village twd Mehdipatnam
NSPpfP6W,Kasimbouli Cross Road,Kasimbouli Cross Road,17.284604933384,78.2926189098557,KASHIMBOWLI X ROAD twd JBIT
Mnjzm9Az,Nazeebnagar/Nadeempet,Nazeebnagar/Nadeempet,17.299,78.289,NADEEMPET twd JBIT
HDWSoV0z,Murthuzaguda Cross Road,Murthuzaguda Cross Road,17.3061988237909,78.2887941571712,MURTHUZAGUDA X Road twd Murthuzaguda village
92uA5pny,Murthuzaguda,Murthuzaguda,17.3105802690999,78.282651906944,MURTHUZA GUDA VILLAGE twd Aziz Nagar
EVjY0bP0,Murthuzaguda Cross Road,Murthuzaguda Cross Road,17.3120475561998,78.2882523536682,MURTHUZAGUDA X Road twd Himayathnagar
IKj3CP7i,Kasimbouli,Kasimbouli,17.2867152835312,78.2967441732648,KASHIMBOWLI Village twd Bakaram
hDXHjJSA,Sajjan Pally Cross Road,Sajjan Pally Cross Road,17.3000567045008,78.2279294729232,SAJJANPALLY X ROAD twd Kethireddy Pally
zzqzHPWj,Sajjanpally-Moinabad,Sajjanpally-Moinabad,17.2973665939934,78.2186007499695,SAJJANPALLY Village
RxiEEvNN,Kethireddypally-Moinabad,Kethireddypally-Moinabad,17.2730849368757,78.2234609183445,KETHIREDDY PALLY twd Solipet
6uqD56Gg,Kethireddypally-Moinabad,Kethireddypally-Moinabad,17.2730798376069,78.2233858920688,KETHIREDDY PALLY twd Mehdiptnam
r0SHmbkU,Sajjan Pally Cross Road,Sajjan Pally Cross Road,17.3000912877976,78.2279133796692,SAJJANPALLY X ROAD twd Moinabad
4sHlVgCx,Sri Manikeshwari Matha Temple,Sri Manikeshwari Matha Temple,17.3756775522167,78.1312841176986,MANIKESHWARI Matha Temple twd Kothapally
